key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
algolia--places,3437,107,1,1,0,1,25,4124,2,0,107,7724,194,83,161,183,22
AllThingsSmitty--jquery-tips-everyone-should-know,3793,437,1,1,1,0,3,232,0,0,28,2014,30,19,29,36,7
almende--vis,4345,724,1,1,0,1,357,11824,13,0,369,104508,18360,321,521,599,78
alsotang--node-lessons,6964,2704,1,1,1,0,63,2328,0,0,47,7037,1908,47,70,92,22
alvarotrigo--fullPage.js,16437,4354,1,1,1,0,82,9432,0,0,58,11200,1387,13,97,103,6
alvarotrigo--pagePiling.js,2722,469,1,1,1,0,30,2856,0,0,19,2739,487,7,32,35,3
amark--gun,2818,142,1,1,1,1,71,844,23,0,50,16373,4159,21,52,60,8
amfe--lib-flexible,3110,1047,1,1,1,0,32,21296,0,0,14,872,108,6,21,24,3
ampproject--amphtml,8966,1365,0,1,0,0,941,43160,197,0,1191,147907,42064,1026,1411,1682,271
amsul--pickadate.js,6573,832,1,1,0,1,227,1904,0,0,143,28097,6050,30,144,154,10
andrewplummer--Sugar,3180,298,1,1,1,0,84,5204,301,0,325,64886,24080,151,346,385,39
andyet--SimpleWebRTC,2862,833,1,1,1,1,95,896,7,0,19,13634,4112,9,23,27,4
angular--angular.js,53074,26219,1,1,1,0,859,39572,211,0,1226,246724,32673,772,1604,1795,191
angular--angular-phonecat,2700,4592,1,1,1,1,4,2000,0,0,61,2589,80,40,142,155,13
angular--angular-seed,12200,6982,1,1,1,0,17,128,0,0,22,535,16,17,23,29,6
angular-app--angular-app,5990,1950,1,1,1,0,46,2128,0,0,151,23943,13899,252,162,214,52
AngularClass--angular2-webpack-starter,5428,2961,1,1,1,1,175,700,0,0,60,2113,881,61,95,112,17
angular-fullstack--generator-angular-fullstack,5503,1146,1,1,1,1,163,5144,3,0,214,10865,997,381,252,338,86
angular--material,14750,3117,1,1,0,0,383,7420,3,0,646,68351,15354,922,769,968,199
angular--protractor,5987,1411,1,1,1,1,158,4732,0,0,357,19577,5598,285,402,487,85
angular-translate--angular-translate,3986,604,1,1,1,0,86,3264,26,0,95,11037,2659,164,314,360,46
angular-ui--bootstrap,13358,6866,1,1,1,1,156,2620,0,0,216,28722,1576,328,223,317,94
angular-ui--ui-grid,4412,2222,1,1,1,1,1261,13164,39,0,312,355379,48716,556,388,516,128
angular-ui--ui-router,12242,2983,1,1,1,1,279,5328,38,0,61,59925,68495,43,62,75,13
angular-ui--ui-select,2767,1598,1,1,1,1,390,904,3,0,70,9203,804,26,75,85,10
anijs--anijs,2926,386,1,1,1,0,25,660,26,0,33,5660,1418,58,40,57,17
ankane--chartkick,3896,394,1,1,0,1,134,600,3,0,13,13177,1282,25,16,25,9
anthonyshort--deku,2881,124,1,1,0,1,36,312,17,0,52,3130,144,53,52,71,19
aosabook--500lines,12571,2451,1,1,1,0,22,76264,0,0,353,57199,24541,753,790,986,196
apache--couchdb,2735,625,1,0,0,0,49,1652,112,0,134,17120,4555,53,162,181,19
apidoc--apidoc,3407,658,1,1,1,0,101,1016,24,0,89,4333,739,65,96,116,20
appium--appium,4300,2337,1,1,0,1,891,1280,11,0,124,13768,135,64,134,153,19
arasatasaygin--is.js,7536,593,1,1,1,1,7,176,4,0,9,3504,219,2,10,11,1
arkency--reactjs_koans,2751,294,1,1,1,0,6,152,10,0,27,950,301,11,30,35,5
artberri--sidr,2818,646,1,1,1,0,19,296,0,0,42,3069,142,21,46,54,8
assaf--zombie,4152,452,1,1,0,1,149,4404,67,0,75,78977,27794,27,88,97,9
astoilkov--jsblocks,2779,118,1,1,0,0,15,4640,41,0,144,77932,15851,74,153,178,25
aterrien--jQuery-Knob,4945,1270,1,1,1,0,205,152,0,0,8,1735,207,4,10,12,2
auchenberg--volkswagen,5014,95,1,1,1,1,19,52,8,0,9,372,32,2,10,11,1
auduno--clmtrackr,3766,690,1,1,1,1,35,4,0,0,,,,0,0,0,0
auduno--headtrackr,3123,441,1,1,0,1,15,904,0,0,16,2836,1290,2,18,19,1
aui--artTemplate,3784,1392,1,1,1,1,152,1268,27,3,74,17641,5218,32,74,86,12
aurajs--aura,2990,268,1,1,1,0,45,224,0,0,25,2012,473,26,26,35,9
aurelia--framework,8199,469,1,1,1,0,37,1492,4,40,64,11150,476,46,76,92,16
auth0--node-jsonwebtoken,3594,276,1,1,0,0,42,220,27,0,30,1671,19,9,38,42,4
Automattic--kue,4956,625,1,1,1,1,131,692,11,0,56,8509,1520,53,59,74,15
Automattic--mongoose,10649,1679,1,1,1,1,370,25824,90,0,427,151790,26299,411,909,1011,102
Automattic--wp-calypso,8014,1009,1,1,0,0,1487,31456,39,0,4113,332025,31679,7385,4277,5832,1555
avajs--ava,6948,331,1,1,0,0,143,5024,172,0,180,13812,1054,187,213,258,45
aws--aws-sdk-js,2600,441,1,1,0,0,95,31204,121,0,817,566498,82850,825,923,1137,214
babel--babel,18360,1429,1,1,1,0,467,21288,3,8,2838,60904,3653,10049,3504,5102,1598
BabylonJS--Babylon.js,3773,973,1,0,0,0,2,167236,0,0,928,507343,92703,840,1286,1481,195
badges--shields,3285,593,1,1,0,1,202,552,4,0,25,9610,451,10,41,46,5
baidu-ife--ife,2885,2674,1,1,1,0,686,84376,0,0,51,4028,462,112,124,151,27
balderdashy--sails,15733,1612,1,1,0,1,46,2148,155,0,252,21601,6762,284,269,334,65
balderdashy--waterline,3378,446,1,1,0,0,50,1484,91,0,175,14294,6839,122,175,205,30
BBC-News--Imager.js,3753,216,1,1,0,0,23,28140,31,0,34,1847,136,80,60,82,22
